__label__neg	And after trying all the suggestions to prevent and stop leaking to no avail, I'm giving up.
__label__pos	Works GREAT.
__label__pos	"""They seem like they wouldn't be very sturdy/stable, but once the co-sleeper is strapped to the bed, it doesn't move at all."""
__label__neg	How annoying
__label__pos	This is something I will buy as a gift for friends.
__label__pos	My son has some crazy strong legs, and I absolutely credit this toy for helping him achieve that! 
__label__pos	She shakes them and giggles and smiles when different soothing and peaceful music sounds comes out.
__label__neu	I was attracted to the idea of having a bottle warmer that doesn't require electricity or a car adapter.
__label__neu	I bought this as a 2 pack with a coupon and got it for free,  but it is not even worth it for free.
__label__neu	 We purchased the first swing in December 06
__label__neu	"""I always placed her feet on the crackly leaf."""
__label__neg	"""I am overall very disappointed with the wear..."""
__label__pos	"""My son has loved this bouncer since he was just a couple of weeks old."""
__label__pos	We had other, more conventional monitors, but as my son co-sleeps with us, we wanted to be able to keep an eye on him if we couldn't be in the room with him, as he falls asleep before us.
__label__neg	 The directions tell you to drain them after each use but I can never get all the water out
__label__neu	 Well our third is now crawling and we just put it up again. 
__label__neu	the plastic on the top of this snack catcher is not good quality.
__label__neu	"""You're not supposed to keep your baby in a snowsuit while it's in a car seat because it interferes with the tightening of the harness straps."""
__label__pos	I've now decided to try the Nuby ones as they seem more sturdy for the spout overall and you can buy replacement spouts - a lot less cost and waste.
__label__neg	I would just use a large flannel blanket or something else, this isn't worth the money. 
__label__neg	We bought this to see the baby in the rear view mirror
__label__neu	I bought this stroller for my twin girls.  
__label__neg	I took us 6 minutes to heat up a bottle that we had in the fridge.
__label__neu	In addition, the alternative with such youngsters (when they are too young to fully have impulse control) is to secure them in a stroller, carrier or backpack.
__label__neg	I would not trust it at all.
__label__neg	I got this as a shower gift and returned it
__label__pos	"""A great stroller for the price - everyone should have one."""
__label__neg	I have to agree with others, it isn't very strong
__label__neu	I'm an exclusive pumper, so in addition to bottles and nipples, I also have lots of pump parts to deal with. 
__label__neu	It's pretty and probably would be good for that, but fails as a under table mat to keep things clean.
__label__neu	Only glass bottles are safer but they do not reduce colic
__label__neg	The problem with a breastfeeding mom is,  they do not fit standard US breast pumps
__label__neg	"""That is so funny that a previous reviewer called this the Pooperoo because my daughter poops almost everytime I put her in it!"""
__label__neu	This is total different
__label__neg	We'll give up eating out for two months to get non-interrupted sleep.
__label__neu	My Brest Friend Pillow, SunburstNice flat top, a firmer pillow, and a velcro belt to keep the pillow in place.  
__label__neg	 My son would get so frustrated that we just gave up and returned it
__label__neg	When my baby was under 4 months old he hated the Ergo.
__label__pos	My son always slept like a log in this thing and loved to just sit in it and be talked to!
__label__neg	If you are like me and need the white noise to keep your baby from waking up from other sounds in the house,  you need something a lot louder
__label__neg	I don't think I would use rear facing just because it doesn't have a removable base, so you would have to remove infant from seat to take in and out of home, store, ect.
__label__pos	"""To be honest, we loved our infantino soft carrier."""
__label__pos	"""My daughter just love it."""
__label__neu	All other baby gates become useless as soon as the kids figure out how it works.3.
__label__neu	I have this on the cabinets in my kitchen, on the ones that are on the bottom.
__label__pos	It does not make any noise if set up right.
__label__pos	Does exactly what we want it to do.
__label__pos	"""Eating at home and at restaurants is now a much less messy affair."""
__label__neg	 Never used it since
__label__neu	Disappointing.
__label__pos	I used the playtex nurser bottle and she loved it
__label__neg	Now I know that is the batteries,b/c they were a lesser breand then I usually buy, but it just shows how much battery power that it takes.
__label__neg	 Like other Avent products, the manual relies on pictures that can be difficult to interpret
__label__neg	Try to look for a monitor with a longer battery life.
__label__neu	I estimate it holds up to 16 soiled diapers (we put the dirty wipes inside the dirty diaper so they are bulky).
__label__neu	Perhaps mine was just defective.
__label__neu	"""We bought a Britax and an Evenflo."""
__label__neg	They are very thick, you can see them through clothing, the diameter is far too small so even a small shift and they will leak. 
__label__neu	The audio gives a constant hiss,  even when there is no sound in the room where the camera is,  and when the monitor is set to the lowest volume possible.
__label__neu	In fact,  she's pretty much left it alone since we took this off
__label__pos	And it is wonderful when baby is three months or so and wants to be propped up a bit to see that ever-expanding world.
__label__neg	They leaked standing upright or laying down.
__label__neg	Beware of the nipple not tightening properly when you screw it on.
__label__neg	Who wants to mess with that in the middle of the night
__label__neu	I bought this hoping it would help me organise all my baby diapering needs. 
__label__neg	"The back bends like a letter C and our son who is not even 6 months yet was so uncomfortable that I had to buy another stroller ""Peg Perego Aria"" and am so glad I did because it is much lighter than chicco and much sturdier."
__label__neg	When the top rack falls you pick it up to reposition it and the small plastic things at the top fall everywhere, so you have to remove those before repositioning the rack.
__label__pos	"""Marking and installing the discs took less than five minutes, and this time around, installation was a snap."""
__label__pos	"""This will definatly be my gift of choice from now on to all my pregnant friends."""
__label__neg	 Don't waste your money on these cups
__label__neg	Its reception is HORRIBLE!
__label__pos	For what I paid I am satisfied with this little hamper.  
__label__neg	I have a standard 28x52 crib and this was too big for it--it bunched and wouldn't lay flat.
__label__neu	It does very small amounts of food easily so the baby just gets a little of whatever we're having - beets sweet potatoes peaches whatever.
__label__pos	This seat is great!
__label__neg	"""Also, infants really don't ""travel"" much for this to be useful, as it's only supposed to be used in strollers, car-seats, bouncers, etc."""
__label__neg	 Also, I assume that the music cycles through all 5 tunes that are mentioned on the package
__label__pos	Excellent product!!
__label__neu	But for us 2 months of sleep has been worth the investment already even if it tanks later
__label__pos	:) It never seemed to bother her, but we decided to stuff one of her blankets or a towel in front of her to fill the gap in the seat area so that her hands couldn't fall through anymore.I have a picture posted to illustrate what I am talking about.Despite this issue, I would buy this toy again without a second thought.
__label__neg	To much chemicals
__label__neu	and I thought we just had to wait it out until he was four months and they say fussy babies mellow.
__label__neu	I will add that I shared my sentiments with Safety 1st and they did contact me to try to resolve my dissatisfaction
__label__neg	My 10 pound baby bounced more than could be safe & gradually sagged lower and lower requiring constant tightening.
__label__neu	The music is annoying so leaving it on after the baby has gone to sleep can drive you nuts.
__label__neg	 In February the motor went out and we had to get another one
__label__pos	You can pump and rock your baby at the same time.
__label__neg	I was very very leery of jumpers.
__label__neu	3.  
__label__neg	"""I returned the headrest that I received at my baby shower."""
__label__neu	and a regular body pillow.
__label__neg	When I place my daughter on it she manages to slip down the angled pillow, so when I go in to check on her she is scrunched up at the bottom of it.
__label__neg	It also developed some brown crusty looking stuff in the bottom of it and all the numbers rubbed off the measuring tube.
__label__neu	You're better off using plain ole tupperware when toting around food.
__label__pos	Having the spoon right there was great too.
__label__neg	It is one of my least favorite sippy cups
__label__pos	The nipple on this bottle is so real and is the only one my boy will use.
__label__pos	This toy is one of our five month old daughter's favorites!  
__label__pos	"I think he loved it because it was cozy and kept him in a ""tight"" environmentit's elevated slightly so your baby isn't lying on their back and just staring at the ceilinggreat for transferring a sleeping baby"
__label__pos	It will also be great for our upcoming car trip.
__label__pos	"""It is VERY roomy & baby enjoys splashing around."""
__label__pos	"""I'm not a fan of fisher-price in general due to the fact that they are not the most conscientious company, but this swing is great!"""
__label__neg	Bottom line -- waste of money.
__label__pos	If you want a good, basic, entertaining, educational (and I might even venture old-fashioned in some ways) toy, you should definitely get this one.
__label__neg	"""My husband and I have four masters degrees between us, and my father is an engineer."""
__label__pos	I LOVED this jumper.
__label__neg	 But, it sucked up 9 volts like you wouldn't believe. 
__label__neg	I used them for 5 months and finally got so fed up with all of the problems that I bought all new bottles.
__label__pos	We love this product so much.
__label__neg	These are still hard and also hard to store. 
__label__neu	I cannot comment on how useful this item is for swaddling a baby as we are not due for a few months
__label__neu	I placed a lap pad in it as recommended by a friend, so if it became soiled, I could easily replace the lap pad instead of trying to wash the positioner itself.
__label__neu	Totally crazy I know
__label__neg	Maybe all the car seat mirrors are problematic.
__label__pos	It was relatively simple, and I love it already.
__label__pos	My daughter loves balls and she loves chewing on tags
__label__pos	"""So I thought this will help."""
__label__neu	It is easy for her to grip and it's very smooth- no splinters, after 4 months- but maybe it's just not her thing.
__label__neu	When I had to use other bottles in a pinch, he wasn't happy eating.
__label__neg	I can't fit much in this bag without the magnetic closures popping open.
__label__pos	I must admit that my daughter enjoyed looking at this mobile for the first couple months of her life
__label__neu	We hooked it up in short order,  turned it on,  and *SCREEEECH*.
__label__pos	The answer is yes, a thousand times yes, it's worth it.  
__label__neu	They would cry and could not get their hands and fingers out without my help.
__label__neg	My baby had terrible gas and colic and i was using the Playtex Ventaire natural shape bottles.
__label__pos	"""Definately would recommend this seat for any other moms who are potty training their child."""
__label__neu	Try wiping his or her buttcrack while they're in a high chair. 
__label__neu	My baby is 14 pounds now and I just cannot use it,  he does not like it,  and I feel like it is going to rip or I will hurt my back using it.
__label__neg	 I didn't think this would be a huge issue
__label__neu	 I would buy one that is built with a slanted back and a short basin so baby doesn't have far to slide down. 
__label__neg	 The instructions recommended changing the position of the petals on the breast to get the most milk, however, during this process it would leak even more because the milk would collect between the plastic and the suction petals when the milk was supposed to be going into the bottle
__label__neg	It might not sound so bad but it more than doubles the amount of work to fill a bottle,  and at 3 AM when you have a screaming baby,  you don't want to be diddling around with the extra pieces
__label__neg	 These are unecessary and really a pain.
__label__neu	It is quite large. 
__label__pos	No complaints!
__label__neu	its two pieces; one cup, one top. 
__label__pos	"""No dice."""
__label__pos	"""Highly recommended."""
__label__neu	The headrest is in the bouncer or the swing.
__label__neg	We have an oval tub and it did not come close to fitting it due to the crazy arm on it
__label__neg	It leaked, its round opening was WAY too small, and I had a ton of problems with my son leaking all over the front and on to the floor.
__label__neu	Just the other week, my mom spilled all of his snackies on the floor when opening one of his snack containers! 
__label__neu	You don't need it if you are using a nursing pillow,   like &quot;Boppy&quot;.
__label__pos	she loves the feel of it and that toys can be hung on the loops!
__label__pos	"""Just flip the handle and the diapers fall through to the bag."""
__label__neg	 Sometimes at 4 min
__label__neu	Better just to work quickly,  and you'll get quicker with practice
__label__neg	However, I was under the impression that you could detach the napper and use it elsewhere. 
__label__pos	"""These packs convert easily from warm to cold."""
__label__neg	To use cell phones in our house, you have to stand by a window and not move or you will lose your call.
__label__pos	It is excellent!
__label__neg	 I'd go with that instead of this basket
__label__pos	"""We've not had the leaking trouble that other reviewers have mentioned with either of our purchases (2009 or 2012)."""
__label__neu	what a pain to use!
__label__neg	If I had to do it all again,  I would opt for using the big potty from the start - cleaning those things out gets old fast too
__label__neg	"""It had so much static."""
__label__neu	Quite possibly one of the most frustrating pieces of junk I have ever purchased.
__label__neg	 I was afraid it was going to tip over
__label__neu	they won't work with the toilet lock
__label__neu	"""Every dollar counts when you are a SAHM!"""
__label__neu	When I did get the proper suction the pump worked easily and my milk came down easily.
__label__pos	I had a c- section and we lived in a 2 story house what trips this saved my husband from going downstairs all night was well worth the money.
__label__neu	My wife purchased a wrap carrier (Maya wrap?) and the difference is like night- and- day.
__label__neu	"""Putting him down in his crib (in our room) didn't work..."""
__label__pos	"""I've been pumping fairly regularly for 4 months now and wouldn't think of using anything else."""
__label__neg	 I am really disappointed
__label__neu	Finally went out and bought the especially for baby electronic pump which is also about the same price and Im now a happy pumper.
__label__pos	The only drawback is that they're relatively expensive, but I guess that's the cost of convenience.
__label__pos	It also helps with her colic because of the vibration.
__label__neg	 They have the worse customer service I have ever dealt with. 
__label__neu	We have a toddler and we were told that we just had to get a guard for the DVD, and for other electronic things as well.
__label__neu	This gate is the second item returned
__label__neu	If Graco put a more appropriate sized motor in it,  I would definitely recommend this product
__label__pos	I had to have this again.
__label__neu	I tried replacing the batteries to see if I could get music,  but I did not.
__label__neu	 Our son's gas IMMEDIATELY disappeared and he no longer suffered from nipple confusion
__label__neu	My 17 month old can get out of any bib.
__label__neg	They do not fit together well either.
__label__pos	I borrowed this breast pump from my sister and it is awesome!
__label__neu	First,  the good: very clear,  no interference with any of our other cordless devices,  visual signal of volume/sound even if you've got it turned way down.
__label__pos	It's a great item to take from room to room.
__label__neu	My older son is now 14 years old and boy have baby products changed since then!
__label__pos	She loves it!
__label__neu	I was not told by my doctor that I needed to sterlize my daughter's bottles but I do anyway.
__label__pos	"I had a hard time figuring out how to get my daughter comfortable and nurse when she was born,  until my husband came home with ""my brest friend nursing pillow"
__label__neu	I received solid blue
__label__pos	We have loved it since day 1!!!
__label__neu	The directions instruct you not to use an electric warmer or sterilizer
__label__neu	I will try it as he gets a bit older and see if it works better.
__label__neg	 Nothing but lingering poopy stink
__label__pos	This allows us to make it thru the night without having to make a full crib linen change--- at least until morning.I will certainly buy this as my gift to all my friends baby showers!
__label__neu	I'd recommend you buy just one of these and try it out
__label__pos	"Now she is old enough to really enjoy the lights and noises that she can produce with her feet and ""sings"" to the variety of songs that it plays.  "
__label__neu	SIT ON IT!
__label__neg	At his daycare they have a Fisher Price Papasan swing and he LOVES it.
__label__neu	the only thing my little girl has ever done with this toy is throw it... she is completely uninterested in this toy.
__label__neu	At home I'd just use the food processor - easier and faster
__label__neu	He was napping in the swing while I did dishes, I heard him make a little noise so I turned around...
__label__pos	It make for a cute stuffed animal and thats about it
__label__pos	Not only does he love the jumperoo but all the adults love to watch him in it.
__label__neg	 I am a nursing Mother and thought these bottles we suppsose to mimic the breast
__label__pos	It is easy to install and keeps my daughter toasty warm.
__label__pos	Aah...The best thing e..v..e..r
__label__pos	It allows me to get down on the floor with her and spend time with her!
__label__neg	 Very disappointed
__label__pos	When I found this monitor offered DECT technology, I jumped on it because I've been very pleased with the quality of sound from my DECT wireless phones.This wireless monitor is just as good as my phones.
__label__pos	The muted colors combined with dark red curtains has made his room a nice little cave that is so relaxed that he frequently sleeps in.
__label__pos	LOVE IT!
__label__neu	I've got a 2 week old
__label__pos	Perhaps this will improve as he gets the hang of it.
__label__neu	I am definitely getting more of these as well as the smaller version
__label__neu	Perhaps a built- in iPod adapter with speakers built into the tray or something.
__label__neg	best decision I made
__label__neg	 The Kalencom is very sturdy and has good (but not perfect) non-slip grips
__label__pos	I love fact that it's soft instead of hard plastic which allows is to soak up warm water fast and is comfy for baby.
__label__neg	My husband said he knew a very short adult woman in college who could easily wear it, it's that big. 
__label__neu	It often got more smiles than we did.
__label__neu	absorbant but bulky
__label__pos	It is great to be able to see our little guy without having to go into his room and potentially wake him up.  
__label__pos	They sent them to me for free (including free shipping
__label__neu	I ended up throwing the whole lot out after using more money on paper towels than bottles.
__label__pos	A must have
__label__neu	Everytime you opened it to add another nipple, the ones already in there would fall out. 
__label__neu	We moved it from the sink into the tub quite a while ago, and took the mesh cradle out.
__label__neg	Also the vecro is a bit scratchy, you have to be careful when putting it on that none of it is touching babys neck or it will scratch her.
__label__neu	I use tall kitchen trash bags.
__label__neu	Ok, I have to say that since I became a mom 3 yrs.
__label__neu	 I love the look and feel of avent bottles but my son has a small mouth and was unable to get a good suction on this nipple. 
__label__neg	 The water that's stuck in the toy builds up mildew and you don't want that floating in your baby's bath water or even let your baby put in his mouth
__label__neg	"""My only warning is that I got it in black and lost it as it got buried in the depths of my plane seat, or under the seat in front of me, or somewhere."""
__label__neg	But the swing keeps moving which keeps him asleep (as soon as I stop it my baby always wakes up).
__label__neu	And a SNUG FIT!  
__label__neu	I switched to this bottle after failed attempts to use the Evenflo glass bottles.
__label__pos	(And that's with just NOW finding out that it folds for easy storage! 
__label__neg	My husband and I read all of the poor reviews on this product, and we really should have listened to them!
__label__neu	Since the only place I found for it near water source is inside our bath tub,  which places it practically at ground level,  my back is killing me.
__label__pos	"""Easy to slide baby in & out of the carrier."""
__label__pos	It also is a great neutral color (we have the graphite), which matches our grey/blue car seat perfectly!
__label__neg	They are definitely not the diaper service quality, however, if you don't have 3 different levels of diapers to choose from at your local store, how would you even know that there were different grades of diapers when it says
__label__neu	My daughter kept getting out of it.
__label__pos	It is easy to use and priced well.
__label__pos	It's great for calming her down and for long naps.
__label__neu	I thought about exchanging it for another just like it but figured it wouldnt work.  
__label__neu	All in all I'd say buy a different bottle.
__label__neu	I always wrapped my daughters arms accross her chest because she liked to suck her fingers.
__label__pos	You won't be disappointed.
__label__pos	"""When we travel, we fold it up and bring it along."""
__label__neu	I'd say, if he could speak, he'd say Swaddle Me in Microfleece.
__label__pos	"""Our son is past the stage where he will stay put in a floor bouncy chair so he loves the freedom of lying in this stretching out,and kicking."""
__label__pos	The color choice is out standing
__label__neg	We were rather disappointed with this warmer and ended up returning it and getting the Dex warmer which works MUCH better
__label__pos	"""Caveat: wait until your ready to serve to put it on the table..."""
__label__neg	I put the batteries in and nothing works
__label__pos	Our baby (nearly 4months old) loves this seat as a place to hang out with parents as they do, well, whatever parents do.
__label__pos	I'm very disappointed in Fisher Price.
__label__neg	"""The only thing I would change is the swing seems to move very slowly (I have new batteries)."""
__label__pos	Easy to use - so convenient!
__label__neu	After just a couple of months,  ours are already coming apart.
__label__neu	As an infant my son was mostly washed while he was lying on the bed and I used a basin of water.
__label__neu	My wife is expecting our first child in August, and we will be looking at breast pumps as well.
__label__neu	It has a shelf for your baby to sit on.
__label__neu	"""I buy the 100ct two boxes at a time."""
__label__neu	My baby was born 8 pounds and at 11 weeks is already 15 pounds.
__label__neu	When my six month old son falls asleep his head always ends up falling to the side or in his lap, no matter how far it is reclined and even with the head insert in.
__label__neg	4) No valve except in the cup spout
__label__neu	Maybe that's the cause of the static
__label__neg	"It's difficult to disassemble and reassemble this properly-- nothing ""clicks"" to let you know it's properly snapped into place,  and when it's not lined up exactly right,  it leaks"
__label__pos	You have to time it but again it's fast and ready to go in 6-7 minutes.
__label__pos	I wish I had used this after the birth of my first child, too, because I had the same issue with cracked nipples, but struggled with it much longer since I didn't know about this product.
__label__neu	Excuse me, ...but this product is so far from being odorless.
__label__neg	The buckle is very tricky
__label__neu	"""Only an idiot wouldn't check the temp before feeding their baby anyway."""
__label__pos	 The chest arrive and was spacious and cute
__label__neu	 The lowest setting is still slightly too high. 
__label__neu	I bought these bottles to replace our Avent bottles, due to BPA concerns.
__label__neg	Almost all rear facing seats will rebound in a crash.  
__label__pos	I'm glad I have this warmer!
__label__neu	Go figure.
__label__neg	We ended up using a lightweight fleece blanket about 2-1/2 foot square.
__label__neu	"""we have a farmhouse-style tile-top kitchen table..."""
__label__pos	The front and bottom is solid mesh so that water can drain and no mildew grows.  
__label__pos	When she discovered that pulling the bird made the fan go around, she is very intrigued.  
__label__pos	"""There is no twisting."""
__label__pos	 With Lansinoh I won't have to worry about that. 
__label__neu	It is a wider stroller, however I have not found a doorway in a public place I cannot fit through.  
__label__pos	I would highly recommend this over Baby Magic and Playtex anyday.
__label__neu	Entertaining but a Pain to Put Together
__label__pos	The span of the legs is pretty wide which you should measure for.
__label__pos	"""I wish I had registered for this in the first place!"""
__label__neu	After I used it for about a month,  my pediatrician told me not to drive with it attached anyway.
__label__neg	Babies are too smart for this
__label__neg	It smells so bad and it's so strong.
__label__neg	~*My baby used to sweat in 25 degree weather with just his clothes and this bundle me.
__label__neg	 A warning was issued in 2007 due to high amounts of lead in the blue block
__label__neg	For the price, this walker/entertainer is a very poor value.
