,polarity,summary,reviewText,year,uuid,asin,reviewerID
287,positive,So convenient!,"I originally bought the Munchkin formula dispenser to use while we were out and about. Since then I have found that I even like to use it at home also. It's so convenient to be able to pour the pre-measured amount of formula into my sons bottle. So simple. I also have a formula dispenser that I got at WalMart (Parent's Choice brand), and that one works well also, but doesn't hold the full 8 oz. worth of formula that this one does. The Munchkin formula dispenser was a great buy for sure!",2008,1202083200B0009ET94AA1C80KO0L5I0IZ,B0009ET94A,A1C80KO0L5I0IZ
288,negative,Doesn't mix Nutramigen very well.,"The concept of this pitcher is to keep the mixing blades below the surface of the liquid to keep air to a minimum.  Unfortunately, lots of formulas float and need a lot of agitation to mix properly.  For these formulas, this pitcher is useless.Additionally, the lid goes on secure but is not liquid tight.  Tip it or shake it and you'll have a mess.One last item - in order to adjust the height of the mixing blade you have to take the lid off and push a rubber grommet up/down the shaft.  This isn't easy and of course it's wet with formula.  This seems like a messy or unsanitary way to have to do every time you make and pour a bottle.Instead we found a liquid tight pitcher.  Shake the heck out of it to mix, then a few hours later the bubbles have settled.  If you can plan more than a bottle ahead, this might work out better for you, too.",2008,1203897600B0010L98DIA3EK2KTYHJCPB9,B0010L98DI,A3EK2KTYHJCPB9
289,positive,Cute and Useful!,This cute storage provides a useful place to store all the baby materials from the hospital and doctor's visit.  Lots of extra folders for additional items.,2008,1226188800B001F8TLLUA3752DDGZ3COTF,B001F8TLLU,A3752DDGZ3COTF
290,negative,Look at the back straps! BUY SYNERGY WITH BACK SUPPORT!,"Don't you think those back straps will pull your shoulders forward? YES they will. My back started to hurt after 5 minutes walking with my 9 lbs baby! I give not 1 but 2 stars because it is a good quality, strong, VERY easy to use baby carrier, BUT invest more money in it and buyBabyBj&ouml;rn Baby Carrier Synergy - BlackIt has that magic back support! P.S> You have to adjust the straps as your baby grows then nothing will press against her diaper area or anywhere else.",2009,1236038400B0009JOSNWACRLYXWTJW9GP,B0009JOSNW,ACRLYXWTJW9GP
291,positive,Very Comfortable,This Boppy is very comfortable.  I like the asymmetrical design; it allows me to tuck the larger part between my legs while the smaller part is wedged under my belly for extra support.  I had been having hip pain while sleeping at night and this little jobby did the trick.  The only negative comment I have on this is that it does tend to make me a little warm while sleeping but I think anything would.  All in all this was a great purchase and I would suggest it to anyone trying to adjust to sleeping on their side (I am typically a stomach sleeper) or to anyone experiencing hip pain.UPDATE:  I have now had my baby and have used this pillow to help prop him up during feedings!!!  I have gotten my money's worth out of this Boppy; I use it every day still.,2005,1128988800B00063EDEKA1ZPFA3QQFBBX6,B00063EDEK,A1ZPFA3QQFBBX6
292,positive,Love this!,"No complaints!  Love this carrier.  Only complain, baby outgrew it.  We did get a lot of use out of it though before that.",2004,1099180800B000059XODA2T8KEA8791MQ0,B000059XOD,A2T8KEA8791MQ0
293,positive,2 Month Old Loves It!!!,My daughter loves this gym!  She laughs out loud at the musical star!  All of our videos of her are on this mat.  I like it because everything is detchable and I sometimes take the birdies and attach them to her car seat.  She just loves all of the goodies associated with the mat.  I would say that this item is definately worth the money!,2005,1105315200B0000936LRA2611L97GGZH5,B0000936LR,A2611L97GGZH5
294,positive,Great for messy kids,"My daughter is 20 months old and loves to do it ALL herself...this bib is a lifesaver, and an outfit saver.  The pocket is perfectly placed and the shoulders are wide enough to protect her sleeves.  If only I'd bought this a year ago...",2007,1186358400B000GJF5D2A2B54P9ZDYH167,B000GJF5D2,A2B54P9ZDYH167
295,positive,No Gas Problems,"My son is one big ball of gas. We loved the Advent bottles but they didn't help with his gas problem. These bottles are great for babies who don't need any more air in their tummys. Also the nipples are great for babies that used to the breast, or babies that are between the breast and bottle.The newborn gift set gets you going with all the bottles you will need to start things out plus some for when baby starts getting older.No air in belly, price is not over the top, nipples are the best I have found, and very well made (no leaks at all)",2006,1139011200B00006966IAEK5GOE7UFP2P,B00006966I,AEK5GOE7UFP2P
296,positive,All in One Essentials,This is definitely the set to get. It includes everything you'll need for baby well care in a convenient storage pouch. I tend to leave things all over my house but with this kit I never have to search for tiny items. All of the pieces I've tried so far work very well also. The clippers are my favorite since they are very easy to handle. The scissors work for nails as well. The brush is excellent....very soft bristles for my daughter who doesn't have much hair yet. Nail files and alcohol swabs are nice extras. The bulb syringe works better than the one from  Gerber that I have and the thermometer was a cinch to use as well. I have yet to use the medicine dropper or water temp taker but I doubt there is anything wrong with those items. I also have to wait for my daughter's teeth before I test the toothbrush but it's nice that I have everything handy already. I love this set and keep it clipped on my nursery cart. It also comes with a useful book on taking care of your baby. Definitely the best kit with the most baby essentials.,2002,1036886400B00005UC6DA307YFSORUAXSQ,B00005UC6D,A307YFSORUAXSQ
297,negative,Don't waste time and money on this stroller!,"I bought this stroller when our son was 1 month old and used it not even for 5 months and also occasionally. I found this stroller to be a piece of junk!! The back bends like a letter C and our son who is not even 6 months yet was so uncomfortable that I had to buy another stroller ""Peg Perego Aria"" and am so glad I did because it is much lighter than chicco and much sturdier. Peg Perego also has a bigger basket. In the end, I returned the Chicco, the customer service at BabiesRUs was so great that they gave us a store credit. Beware!!! The chicco stroller at the beginning seems to be great but after a while as the child gets older and heavier, the flimsy back bends!!! Don't waste your time and money on this stroller!!!",2006,1139529600B0009DPILEA12D7ROCUOZVP8,B0009DPILE,A12D7ROCUOZVP8
298,positive,Perfect for newborns,It really makes the newborn baby comfortable and easy to carry without a lot of blankets.,2009,1249344000B001P7YFKIA1VJ16TJBHRRW,B001P7YFKI,A1VJ16TJBHRRW
299,positive,nice lil unit,this is a good pump. it just has a bit of a learning curve. i can successfully pump 2-4oz in 10-15 min with this pump. it's also quite quiet.highly recommended.,2009,1256601600B001FSHJFUA3DEISWZD80JCK,B001FSHJFU,A3DEISWZD80JCK
300,positive,Get the colored ones,I've tried a few different brands of pacifiers and these were hands down the best. I tried the NUK type and they kept flying out of my baby's mouth. She has done well with these since birth (she is now 9 months). She had some of the clear pacifiers and they were so hard to find if they fell or got misplaced. Try the colored ones. I highly recommend them!,2008,1205798400B000EGZ2SAA36N62I47U9IIH,B000EGZ2SA,A36N62I47U9IIH
301,positive,BEST PUMP EVER!!!,"I used an avent pump with my first and let me tell you how great this pump is. All you do is attach the liner to the breast pump, fill it up, and cap it and you can store it or feed right then. It is so comfortable. You have 5 settings to choose from for the speed and suction. It comes with bags for everything. The carrying case, case for traveling with milk and bottles, and case for the parts. LOVE IT!! It cannot get any easier than this. I pump 4 ounces in less than 3 minutes. Try this and you will love it",2006,1146355200B0000TYHD2A38DSZM1N0WDQ0,B0000TYHD2,A38DSZM1N0WDQ0
302,positive,love it!!,This is the best thing ever. My daughter was in a booster seat before we got this but she wanted to feel like a big girl and sit at the table. Just pushing her booster up to the table wasn't good enough. The kaboost did the job. It's very sturdy and easy to put on the chairs. plus you can take it to restaurants without it being a pain. I highly recommend it to everyone with a toddler.,2008,1220832000B000V3YFJIA36BTPMVB6B84K,B000V3YFJI,A36BTPMVB6B84K
303,positive,Great safe place to play,"I got this with the extension.  It's been great for my twins.  There is lots of room for them to play with each other.  It also offers me a safe place to put them if I need to do something quick like pour a bottle.  It did take some maneuvering to set up because it is large and awkward when you unfold it.  It also sounds like you're breaking it because it has ""teeth"" on each hinge that pop into place in small increments (each increment makes a clicking sound).  We don't bother to open or close the gate to get in and out, we just step over it.  It is sturdy enough that my daughter, who weighs 22lbs now, can pull herself up on it.",2009,1243209600B00020L78MA20H94SV8OUQRN,B00020L78M,A20H94SV8OUQRN
304,positive,Love Gerber the best,I think Gerber has the best skin care line.  My son had excema when he was an infant and the Gerber is the most moisturizing for his skin.  This is a great gift set which includes all their great scents.  I would highly recommend this over Baby Magic and Playtex anyday.,2005,1135728000B000095S69A1SHLMPWR0FOVT,B000095S69,A1SHLMPWR0FOVT
305,positive,Super soft boppy,"I love the boppy, when my back hurts it's the perfect way to nurse, baby loves to play on boppy!",2006,1140998400B000069RAOA15U5ZSFC0Q0EJ,B000069RAO,A15U5ZSFC0Q0EJ
306,positive,really comfy!!  Softer cover would be nice,"I tried a couple of these types of pillows first.  The boppy body pillow (UGH!!) and a regular body pillow.My Snoogle is sooooooo comfy, I didn't want to get up!  I felt sooo relaxed.  All my joints were loosened up and my hip and shoulder pain is gone!!  I'm 5'7"" and about 5 months preggo.  I'm an average size and this fits me perfectly!The only thing I would change is the cover.  It's a poly/cotton blend and it's rough and itchy.  I have a friend who sews and is going to make me a new cover out of better fabric.  Other than that, this is the best pregnancy product I've come across (and this is my 4th baby!)",2008,1217462400B0000635WIA3HLAMP842AMWI,B0000635WI,A3HLAMP842AMWI
307,negative,Okay,"As I have stated with the trainer set, they are okay if your child takes to them, just don't buy more than one set if you are not sure your child will take it. I would recommend buying one set from Target ( or some grocery stores cary Avent) and trying first. If it works, then buy more sets online. You will know within days if your child will take to it.",2009,1233878400B00005BQ4OA25OXZ8LCU88JG,B00005BQ4O,A25OXZ8LCU88JG
308,positive,Overall Good Product,"Our 2 1/2 month old son likes to sit in this seat and stare at the toys, but he doesn't care for the vibration like he does in his other bouncer.  This seat is easy to clean, fairly easy to move from room to room, and versatile.  It's not that attractive, however.",2006,1144022400B0002ZOI9WAM4KMUINGPQ7S,B0002ZOI9W,AM4KMUINGPQ7S
309,positive,Tubs really are not needed.,"I bought this tub, but rarely used it.  As an infant my son was mostly washed while he was lying on the bed and I used a basin of water.  By the time he was really ready to be in a tub, we placed him on the teddy bear sponge you place in the bottom of a regular tub, which he enjoyed much better.",2005,1114473600B000067EH7A3M49OCYNJ0X4,B000067EH7,A3M49OCYNJ0X4
310,positive,Roseann the Librarian ....and new mom,"I got this for my baby shower and I LOVE-Love-Love it.  I put it on my kitchen table after filling under sink, and drain it from the easy-drain spout right into the sink when I am done.  My baby Amelia has been in it since week 1 and she is 3 months and still loves it.  She fits perfectly in the newborn side, and I feel safe she won't slip down.  I can easily bathe her alone without problems.  Highly recommended, especially since the tub grows with you and your baby.",2007,1188864000B000056OV0AQRZ9KZPCA8L2,B000056OV0,AQRZ9KZPCA8L2
311,positive,A pretty good pump,"I received this pump as a gift.  I like it because it is electric.  I got the manual attachment free from the hospital and it is very difficult to use even with the spring loading.  For manual use I recommend the Avent Isis.  However, there are times when I just feel like sitting down and not having to manually pump.  This works great.  It comes with storage containers and a nipple insert for smaller nipples.  Plus it comes with some lanolin just incase you get sore nipples.  It is a pretty good buy.  It doesn't work any better than a manual, but it is more convenient since you don't have to work as hard.  I wouldn't have bought it myself, but since it was given to me, I am glad to have it.  :)",2002,1019520000B000056HMVA2A4T3NHN1P5ZS,B000056HMV,A2A4T3NHN1P5ZS
312,positive,Great!,This is a great bouncy seat. My daughter loves it and it puts her to sleep almost every time. She doesnt seem to really care for the massage part but she loves the music. The great thing is the music is actually calming and not annoying. The only thing I would change was to have it recline a little more. Great product!,2004,1097366400B0000CBGBRA3T5SCS955T7X5,B0000CBGBR,A3T5SCS955T7X5
313,positive,Helpful organizer piece.....,"I actually used this with my Pack N Play and loved the handy organizer features.  I moved it to my changing table after discovering I could order one of those Pack N Play Parent Organizers as a replacement part (even from another company's product!) which worked much nicer with my play yard.  Still - this item was very handy.  Note: it only fits on the ""front"" of a changing table or play yard (the attachment arm/hook is not wide enough to hang from the sides).Update at 1 yr: still using this item.  A good buy & fit on the pack-n-play but also on the changing table late on.",2004,1079222400B000056OUOA1H1JZ79JTKO6C,B000056OUO,A1H1JZ79JTKO6C
314,positive,"Be Practical, Not Trendy!","Diaper Champ vs. Diaper Genie...Diaper Champ wins by 1 reason alone - they DO NOT REQUIRE you to buy their bags. Any trash bag will do. We bought a box of 500 trash bags for ten dollars; Diaper Gennie will only work with Diaper Genie Bags which are expensive.Besides that, I chose this one because as we were doing our registry, a FATHER came up and told us to get it (no smells, easy to use, compact), with his 2 kids and a pregnant wife.Baby in 1 hand, dirty diaper in the other, drop diaper in pail, flip bar, diaper is secured in bin. You only need 1 hand to use it. It's secure, it doesn't wobble.The pail WILL SMELL when you open it to change the bag for a new one. Otherwise, it keeps all the nasty smells inside the bin. We keep ours in the garage (have had it for 9 months) and have had no problems with smells (regardless of the weather 10- to 98 degrees). I estimate it holds up to 16 soiled diapers (we put the dirty wipes inside the dirty diaper so they are bulky).",2009,1248912000B000CCEWBYAYLAZUCGWB6IE,B000CCEWBY,AYLAZUCGWB6IE
315,positive,Wonderful for Safety,"I researched and researched forward facing car seats.  I debated buying this car seat for about a month.  I finally decided to buy it and I am glad I did.Positives:Easy to install.  It took us about 15 minutes to install with LATCH.(just read the instructions a couple of times and watch the video  on-line if you think you'll have trouble)The seat fits well forward facing in our car. (Pacifica)  It actually takes up less room then her infant carrier.It is easy to adjust the positions.  No loops, no straps to re-thread.My child appears comfortable and the HUGS system ensures nothing rubs on her.The safety rating is the best!Negatives:The Click and Safe feature is pointless.  It doesn't get snug enough, even though it ""clicks.""  It is actually harder to make the harness tight enough.  I wish we would have bought just the Boulevard.For the price, not a lot of features like cup holder. Not a big deal, but would have been nice.It does not fit well into my husbands Civic.  We are looking into a  smaller Britax.Overall, it is a wonderful seat.  It is easy to clean and I feel comfortable knowing my child is in a super safe top rated car seat.  I don't think I would use rear facing just because it doesn't have a removable base, so you would have to remove infant from seat to take in and out of home, store, ect.  Summary:  Great Forward facing infant seat!",2009,1237161600B001E5CDUKAF7FMQKDMSNXN,B001E5CDUK,AF7FMQKDMSNXN
316,positive,Pleasant Surprise,"I have a Medela Pump in Style for use at work -- it is faster and I can rig it through my bra to be hands-free.  I got the Avent Isis as a hand-me-down from my sister-in-law, who did not care for it at all.  I first tried it when I had a clogged duct, and I found it too painful.  But, I gave it a few more tries and have really come to appreciate this product.  Yes, it's kind of a nuisance to deal with all of the parts when cleaning, but it's quick and quiet, and when my daughter has a nap that's so long I get uncomfortable, it's so easy to grab this and squeeze out an ounce or two to make myself comfortable.  I imagine I will use it on days that I have to be out of the office during my usual pumping time, as I'm not about to lug the pump-in-style to court.  Good product.",2009,1258675200B001G2IAT4A35GD372BH95QO,B001G2IAT4,A35GD372BH95QO
317,positive,My Son Loves It,My son loves to dance to music now. He received this for his 1st birthday and it was an instant hit. He quickly learn how to work it and he still loves to play with it at 20 months old.,2005,1131926400B00004TFLBA2TIZYHKY3TL6A,B00004TFLB,A2TIZYHKY3TL6A
318,positive,Great Toy!,"I have a hard to entertain baby and this toy is great.  In the beginning the musical star startled him and we left it off.  He loved the mirror the best.  Now, at 4 months, the star is his all time favorite.  We have added pictures of smiling babies and cute animals to the picture holder and I change the picture everyday.  It helps to rearrange everything often.  He loves the teather ring.  We've also added some chimes (from another gym) that he thinks are great.  I don't know how long he'll be entertained by this now that he is crawling around some, but so far it's his favorite toy and allows me a good 20 minutes of free time - which for him is amazing!",2004,1095811200B0000936LRAWANCZMWZ16JF,B0000936LR,AWANCZMWZ16JF
319,positive,Swaddle Me in Microfleece!,"Whoever invented these SwaddleMe wraps ought to get some kind of prize. It's one of those products that you keep wondering what you would ever do without it. We have three SwaddleMe wraps for our new baby (now two months old and growing fast). Two are jersey and are now getting  little small for him. It's now getting a little cooler (late Fall), so we got a larger microfleece model. Junior seems to appreciate the extra warmth and room  I'd say the wrap is more effective and harder for him to get out of.A good wrap often quiets our baby down. He doesn't like getting wrapped and often cries loudly, but once he's wrapped he quiets down and even smiles. It's like magic. Somehow, when he can't flail his arms and legs around, he stops crying. Also, he seems to sleep better and for longer spells. Last night was the second of two 6-hour nights. That's worth the price in itself! Our little boy seems to like this fleece model a little better. Maybe he likes the extra warmth. Maybe it's the softness. Mabe it's the larger size. My wife worries a little that the fleece model seems to ride up onto his mouth and might suffocate him. Personally, I think she worries too much, but I'm a little more careful in wrapping him. I'd say, if he could speak, he'd say Swaddle Me in Microfleece.Gary Peterson",2008,1228521600B0009QYTIYAY12DBB0U420B,B0009QYTIY,AY12DBB0U420B
320,positive,baby loves it,"baby absolutely is enthralled with this thing.  really glad we got it.  still using it to help her sleep at nights now.  well made, comes with a remote.  speaker could be a little louder.",2008,1211500800B000JIHP88A1LH9H28TGY4T7,B000JIHP88,A1LH9H28TGY4T7
