reviewText,sentiment,under_review,uuid
"Even with those precautions, sometimes they stay down; sometimes they don't.",1,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
I bought this toy because we had something similar that I bought 8 years ago for my first child.,2,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
"I really didn't want something with a light in it, but didn't have a choice.",1,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
My 6 month old will put this in his mouth while he sits at the table with us and it generally gets covered with food or drool.,2,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
"He couldn't care less about the light, which is motion activated.",1,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
There is a little hole in the light-up ball that allows water (and who knows what else?),2,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
inside.,2,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
Washing it means having to keep your finger over the hole and hope that you can rinse it fast enough.,1,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
"If food gets inside that hole, you are out of luck.",1,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
"I can't figure out why anyone would make a suction cup toy (presumably for use at a high chair, around food) that cannot be easily washed.",1,1,1260835200B001H9NXLGA1N7FWCVYOSCZ6
my 4 day old son loved this swing he slept in it for hours it was the best $165.00 i ever spent for my lil one and for my sanity.,0,1,1251331200B000I5Q19QA3JZAPUZEV61TN
I love the size of these bowls!,0,1,1201564800B000JVXUF2ARS7MNRW8YNNH
They are great to put snacks in and toss in the diaper bag.,0,1,1201564800B000JVXUF2ARS7MNRW8YNNH
They are quality plastic and last a long time.,0,1,1201564800B000JVXUF2ARS7MNRW8YNNH
I am buying more because over time you loose a few here and a few there.,0,1,1201564800B000JVXUF2ARS7MNRW8YNNH
Great to have on hand if you have toddlers.,0,1,1201564800B000JVXUF2ARS7MNRW8YNNH
I bought this diaper because of the good reviews however I found that it does nothing to keep out odors.,1,1,1262044800B00083HK0MA6A0OINXRSV6F
I am going to purchase the odor disks I just saw on amazon.,2,0,1262044800B00083HK0MA6A0OINXRSV6F
Hopefully this will help.,2,0,1262044800B00083HK0MA6A0OINXRSV6F
My son's room is very small and once I open the diaper pail his whole room begins to smell and its not like the pail is filled with dirty diapers when this occurs.,1,1,1262044800B00083HK0MA6A0OINXRSV6F
I would only have 2-3 diapers in there when it begins to smell.,1,1,1262044800B00083HK0MA6A0OINXRSV6F
I wish I had gone with a more expensive diaper pail because I can't take the odor.,1,1,1262044800B00083HK0MA6A0OINXRSV6F
I hope this helps.,2,0,1262044800B00083HK0MA6A0OINXRSV6F
Our son loves this bath tub!,0,1,1130198400B000056OV0A12D7ROCUOZVP8
He is so relaxed in it!,0,1,1130198400B000056OV0A12D7ROCUOZVP8
Best out there on the market!,0,1,1130198400B000056OV0A12D7ROCUOZVP8
"I have a little girl and she started using this potty chair at a year old (early, but just to get the concept!).",2,1,1073865600B000067QMJAP2DUPMGNQP9T
she has loved it since day one!,0,1,1073865600B000067QMJAP2DUPMGNQP9T
"She was entertained by the music which was a great incentive for her to stay a little longer on the potty, and when she was ready it transfers and snaps onto the &quot;big girl potty&quot; and still plays music!",0,1,1073865600B000067QMJAP2DUPMGNQP9T
She is now two and uses just the big potty but every now and then she still asks for this!,2,1,1073865600B000067QMJAP2DUPMGNQP9T
"We didn't get much use out of the potty book that comes with it, but it's a cute idea.",0,1,1073865600B000067QMJAP2DUPMGNQP9T
All in all this was a good choice for us!,0,1,1073865600B000067QMJAP2DUPMGNQP9T
I bought this for my three month old son and we are really pleased with it.,0,1,1249257600B00162ZLVEA20WZCDGVPLE7X
It's fun for him to learn to sit up and it offers a new vantage point for him.,0,1,1249257600B00162ZLVEA20WZCDGVPLE7X
The toy is also very entertaining.,0,1,1249257600B00162ZLVEA20WZCDGVPLE7X
"I did not have a problem with the smell like others- there was a slight smell when I opened the item, but after washing it and airing out over night, I really didn't notice an odor.",2,1,1249257600B00162ZLVEA20WZCDGVPLE7X
I would really recommend this to other parents.,0,1,1249257600B00162ZLVEA20WZCDGVPLE7X
"Our baby's umbilical cord stump fell of when she was just a few days old, so we bathed her in this tub.",1,0,1086220800B000056OV0A2FH9IFBOQTFNP
"She was too tiny for her arms to fit in the arm places, but it worked perfectly because she fit snugly and securely in the place that the body is supposed to go.",0,1,1086220800B000056OV0A2FH9IFBOQTFNP
"Baby won't slip under the water because of the plastic mouldings, so you can have both hands free to wash and reach.",2,0,1086220800B000056OV0A2FH9IFBOQTFNP
"Once our baby was big enough to sit up, we put her on the other end (toddler end), and she plays and splashes, while still having the plastic molding so she can't slip back into the water.",2,0,1086220800B000056OV0A2FH9IFBOQTFNP
She's 18 months old now and we fill the tub to the brim in the big bathtub.,2,0,1086220800B000056OV0A2FH9IFBOQTFNP
"This is a large baby tub, but it stores easily in the bathtub, cleans up very easily, and you will be able to use it for 2 years at least!",0,1,1086220800B000056OV0A2FH9IFBOQTFNP
Well worth the extra $$.,0,1,1086220800B000056OV0A2FH9IFBOQTFNP
My baby was breast fed for the first 2 months.,2,0,1108080000B00008614FA1CGOXRZ1A9PCY
We used a nipple shield by Medela but as she got older the nipple shield was just not cutting it when it came to my baby being full.,1,0,1108080000B00008614FA1CGOXRZ1A9PCY
I decided to pump but when my baby was fussy I couldn't pump every 3-4 hours like I needed to so my supply dropped.,1,0,1108080000B00008614FA1CGOXRZ1A9PCY
"I didn't buy this starter set, I bought a few 4 ounce bottles and gave my baby what milk I had pumped and formula.",2,0,1108080000B00008614FA1CGOXRZ1A9PCY
I have now bought the 8 ounce bottles and use them also.,2,1,1108080000B00008614FA1CGOXRZ1A9PCY
These bottles are great.,0,1,1108080000B00008614FA1CGOXRZ1A9PCY
My baby burps right away and is never gassy.,0,1,1108080000B00008614FA1CGOXRZ1A9PCY
With breast feeding she hardly ever burped.,1,0,1108080000B00008614FA1CGOXRZ1A9PCY
We use the drop in liners and have had NO problems with leaks.,0,1,1108080000B00008614FA1CGOXRZ1A9PCY
"I also heat her formula up by putting hot water in a cup, putting the formula in a liner and dropping the liner into the warm water.",2,1,1108080000B00008614FA1CGOXRZ1A9PCY
"Then I mixed it up with a spoon to make sure there are no cold spots, test it and put the liner into the bottle and feed my baby.",2,1,1108080000B00008614FA1CGOXRZ1A9PCY
"You also don't have to worry about water dripping off the liner and getting on baby because of the plastic they are made of, the water does not stick to the liner.",2,1,1108080000B00008614FA1CGOXRZ1A9PCY
When I pull the liner out you can't even tell it has been sitting in water.(. ),0,1,1108080000B00008614FA1CGOXRZ1A9PCY
I originally bought the Munchkin formula dispenser to use while we were out and about.,2,0,1202083200B0009ET94AA1C80KO0L5I0IZ
Since then I have found that I even like to use it at home also.,0,1,1202083200B0009ET94AA1C80KO0L5I0IZ
It's so convenient to be able to pour the pre-measured amount of formula into my sons bottle.,0,1,1202083200B0009ET94AA1C80KO0L5I0IZ
So simple.,0,1,1202083200B0009ET94AA1C80KO0L5I0IZ
"I also have a formula dispenser that I got at WalMart (Parent's Choice brand), and that one works well also, but doesn't hold the full 8 oz.",0,1,1202083200B0009ET94AA1C80KO0L5I0IZ
worth of formula that this one does.,2,1,1202083200B0009ET94AA1C80KO0L5I0IZ
The Munchkin formula dispenser was a great buy for sure!,0,1,1202083200B0009ET94AA1C80KO0L5I0IZ
The concept of this pitcher is to keep the mixing blades below the surface of the liquid to keep air to a minimum.,2,0,1203897600B0010L98DIA3EK2KTYHJCPB9
"Unfortunately, lots of formulas float and need a lot of agitation to mix properly.",1,0,1203897600B0010L98DIA3EK2KTYHJCPB9
"For these formulas, this pitcher is useless.",1,1,1203897600B0010L98DIA3EK2KTYHJCPB9
"Additionally, the lid goes on secure but is not liquid tight.",1,1,1203897600B0010L98DIA3EK2KTYHJCPB9
Tip it or shake it and you'll have a mess.,1,1,1203897600B0010L98DIA3EK2KTYHJCPB9
One last item - in order to adjust the height of the mixing blade you have to take the lid off and push a rubber grommet up/down the shaft.,2,1,1203897600B0010L98DIA3EK2KTYHJCPB9
This isn't easy and of course it's wet with formula.,1,1,1203897600B0010L98DIA3EK2KTYHJCPB9
This seems like a messy or unsanitary way to have to do every time you make and pour a bottle.,1,1,1203897600B0010L98DIA3EK2KTYHJCPB9
Instead we found a liquid tight pitcher.,2,0,1203897600B0010L98DIA3EK2KTYHJCPB9
"Shake the heck out of it to mix, then a few hours later the bubbles have settled.",2,1,1203897600B0010L98DIA3EK2KTYHJCPB9
"If you can plan more than a bottle ahead, this might work out better for you, too.",2,0,1203897600B0010L98DIA3EK2KTYHJCPB9
This cute storage provides a useful place to store all the baby materials from the hospital and doctor's visit.,0,1,1226188800B001F8TLLUA3752DDGZ3COTF
Lots of extra folders for additional items.,0,1,1226188800B001F8TLLUA3752DDGZ3COTF
Don't you think those back straps will pull your shoulders forward?,2,1,1236038400B0009JOSNWACRLYXWTJW9GP
YES they will.,2,1,1236038400B0009JOSNWACRLYXWTJW9GP
My back started to hurt after 5 minutes walking with my 9 lbs baby!,1,1,1236038400B0009JOSNWACRLYXWTJW9GP
"I give not 1 but 2 stars because it is a good quality, strong, VERY easy to use baby carrier, BUT invest more money in it and buyBabyBj&ouml;rn Baby Carrier Synergy - BlackIt has that magic back support!",0,1,1236038400B0009JOSNWACRLYXWTJW9GP
P. S> You have to adjust the straps as your baby grows then nothing will press against her diaper area or anywhere else.,2,0,1236038400B0009JOSNWACRLYXWTJW9GP
This Boppy is very comfortable.,0,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
I like the asymmetrical design; it allows me to tuck the larger part between my legs while the smaller part is wedged under my belly for extra support.,0,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
I had been having hip pain while sleeping at night and this little jobby did the trick.,0,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
The only negative comment I have on this is that it does tend to make me a little warm while sleeping but I think anything would.,1,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
All in all this was a great purchase and I would suggest it to anyone trying to adjust to sleeping on their side (I am typically a stomach sleeper) or to anyone experiencing hip pain.,0,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
UPDATE:  I have now had my baby and have used this pillow to help prop him up during feedings!,2,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
I have gotten my money's worth out of this Boppy; I use it every day still.,0,1,1128988800B00063EDEKA1ZPFA3QQFBBX6
No complaints!,0,1,1099180800B000059XODA2T8KEA8791MQ0
Love this carrier.,0,1,1099180800B000059XODA2T8KEA8791MQ0
"Only complain, baby outgrew it.",1,1,1099180800B000059XODA2T8KEA8791MQ0
We did get a lot of use out of it though before that.,2,1,1099180800B000059XODA2T8KEA8791MQ0
My daughter loves this gym!,0,1,1105315200B0000936LRA2611L97GGZH5
She laughs out loud at the musical star!,0,1,1105315200B0000936LRA2611L97GGZH5
All of our videos of her are on this mat.,2,1,1105315200B0000936LRA2611L97GGZH5
I like it because everything is detchable and I sometimes take the birdies and attach them to her car seat.,0,1,1105315200B0000936LRA2611L97GGZH5
She just loves all of the goodies associated with the mat.,0,1,1105315200B0000936LRA2611L97GGZH5
I would say that this item is definately worth the money!,0,1,1105315200B0000936LRA2611L97GGZH5
My daughter is 20 months old and loves to do it ALL herself.,0,1,1186358400B000GJF5D2A2B54P9ZDYH167
"this bib is a lifesaver, and an outfit saver.",0,1,1186358400B000GJF5D2A2B54P9ZDYH167
The pocket is perfectly placed and the shoulders are wide enough to protect her sleeves.,0,1,1186358400B000GJF5D2A2B54P9ZDYH167
If only I'd bought this a year ago.,0,1,1186358400B000GJF5D2A2B54P9ZDYH167
My son is one big ball of gas.,2,0,1139011200B00006966IAEK5GOE7UFP2P
We loved the Advent bottles but they didn't help with his gas problem.,0,1,1139011200B00006966IAEK5GOE7UFP2P
These bottles are great for babies who don't need any more air in their tummys.,0,1,1139011200B00006966IAEK5GOE7UFP2P
"Also the nipples are great for babies that used to the breast, or babies that are between the breast and bottle.",0,1,1139011200B00006966IAEK5GOE7UFP2P
The newborn gift set gets you going with all the bottles you will need to start things out plus some for when baby starts getting older.,2,1,1139011200B00006966IAEK5GOE7UFP2P
"No air in belly, price is not over the top, nipples are the best I have found, and very well made (no leaks at all)",0,1,1139011200B00006966IAEK5GOE7UFP2P
This is definitely the set to get.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
It includes everything you'll need for baby well care in a convenient storage pouch.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
I tend to leave things all over my house but with this kit I never have to search for tiny items.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
All of the pieces I've tried so far work very well also.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
The clippers are my favorite since they are very easy to handle.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
The scissors work for nails as well.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
The brush is excellent.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
very soft bristles for my daughter who doesn't have much hair yet.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
Nail files and alcohol swabs are nice extras.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
The bulb syringe works better than the one from  Gerber that I have and the thermometer was a cinch to use as well.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
I have yet to use the medicine dropper or water temp taker but I doubt there is anything wrong with those items.,2,1,1036886400B00005UC6DA307YFSORUAXSQ
I also have to wait for my daughter's teeth before I test the toothbrush but it's nice that I have everything handy already.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
I love this set and keep it clipped on my nursery cart.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
It also comes with a useful book on taking care of your baby.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
Definitely the best kit with the most baby essentials.,0,1,1036886400B00005UC6DA307YFSORUAXSQ
I bought this stroller when our son was 1 month old and used it not even for 5 months and also occasionally.,2,1,1139529600B0009DPILEA12D7ROCUOZVP8
I found this stroller to be a piece of junk!,1,1,1139529600B0009DPILEA12D7ROCUOZVP8
"The back bends like a letter C and our son who is not even 6 months yet was so uncomfortable that I had to buy another stroller ""Peg Perego Aria"" and am so glad I did because it is much lighter than chicco and much sturdier.",1,1,1139529600B0009DPILEA12D7ROCUOZVP8
Peg Perego also has a bigger basket.,2,0,1139529600B0009DPILEA12D7ROCUOZVP8
"In the end, I returned the Chicco, the customer service at BabiesRUs was so great that they gave us a store credit.",0,0,1139529600B0009DPILEA12D7ROCUOZVP8
Beware!,1,0,1139529600B0009DPILEA12D7ROCUOZVP8
"The chicco stroller at the beginning seems to be great but after a while as the child gets older and heavier, the flimsy back bends!",1,1,1139529600B0009DPILEA12D7ROCUOZVP8
Don't waste your time and money on this stroller!,1,1,1139529600B0009DPILEA12D7ROCUOZVP8
It really makes the newborn baby comfortable and easy to carry without a lot of blankets.,0,1,1249344000B001P7YFKIA1VJ16TJBHRRW
this is a good pump.,0,1,1256601600B001FSHJFUA3DEISWZD80JCK
it just has a bit of a learning curve.,1,1,1256601600B001FSHJFUA3DEISWZD80JCK
i can successfully pump 2-4oz in 10-15 min with this pump.,0,1,1256601600B001FSHJFUA3DEISWZD80JCK
it's also quite quiet.highly recommended.,0,1,1256601600B001FSHJFUA3DEISWZD80JCK
I've tried a few different brands of pacifiers and these were hands down the best.,0,1,1205798400B000EGZ2SAA36N62I47U9IIH
I tried the NUK type and they kept flying out of my baby's mouth.,2,0,1205798400B000EGZ2SAA36N62I47U9IIH
She has done well with these since birth (she is now 9 months).,0,1,1205798400B000EGZ2SAA36N62I47U9IIH
She had some of the clear pacifiers and they were so hard to find if they fell or got misplaced.,1,0,1205798400B000EGZ2SAA36N62I47U9IIH
Try the colored ones.,2,0,1205798400B000EGZ2SAA36N62I47U9IIH
I highly recommend them!,0,1,1205798400B000EGZ2SAA36N62I47U9IIH
I used an avent pump with my first and let me tell you how great this pump is.,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
"All you do is attach the liner to the breast pump, fill it up, and cap it and you can store it or feed right then.",2,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
It is so comfortable.,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
You have 5 settings to choose from for the speed and suction.,2,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
It comes with bags for everything.,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
"The carrying case, case for traveling with milk and bottles, and case for the parts.",2,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
LOVE IT!,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
It cannot get any easier than this.,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
I pump 4 ounces in less than 3 minutes.,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
Try this and you will love it,0,1,1146355200B0000TYHD2A38DSZM1N0WDQ0
This is the best thing ever.,0,1,1220832000B000V3YFJIA36BTPMVB6B84K
My daughter was in a booster seat before we got this but she wanted to feel like a big girl and sit at the table.,2,0,1220832000B000V3YFJIA36BTPMVB6B84K
